id,name,type,image
1,jajka,nabiał,
2,masło,tłuszcze,
3,sól,przyprawy,
4,mleko,nabiał,
5,pieprz,przyprawy,
6,natka pietruszki,warzywa,
7,papryka czerwona,warzywa,
8,papryka zielona,warzywa,
9,papryka żółta,warzywa,
10,mąka pszenna,mąka,
11,mąka orkiszowa,mąka,
12,cukier,słodziki,
13,proszek do pieczenia,proszki,
14,syrop klonowy,syropy,
15,borówki,owoce,
16,truskawki,owoce,
17,banany,owoce,
18,dynia,warzywa,
19,bulion warzywny,buliony,
20,cebula,warzywa,
21,imbir,korzeń,
22,oliwa z oliwek,tłuszcze,
23,gałka muszkatałowa,przyprawy,
24,pestki dyni,nasiona,
25,śmietana,nabiał,
26,mleko kokosowe,napoje,
27,czosnek,warzywa,
28,makaron spaghetti pszenny,makarony,
29,makaron spaghetti pełnoziarnisty,makarony,
30,makaron spaghetti orkiszowy,makarony,
31,płatki chili,przyprawy,
32,papryka mielona ostra,przyprawy,
33,parmezan,ser żółty dojrzewający,
34,grana padano,ser żółty dojrzewający,
35,pecorino,ser żółty dojrzewający,
36,pietruszka,warzywa,
37,pomidory,warzywa,
38,pomidory z puszki,warzywa,
42,papryka mielona słodka,przyprawy,
43,kumin mielony,przyprawy,
44,kolendra,zioła,
45,passata pomidorowa,przetwory,
46,olej rzepakowy,tłuszcze,
47,olej słonecznikowy,tłuszcze,
48,ziemniaki,warzywa,
50,mięso mielone wołowe,mięso mielone,
51,mięso mielone wieprzowe,mięso mielone,
52,mięso mielone wieprzowo-wołowe,mięso mielone,
53,koncentrat pomidorowy,przeciery,
54,ser gouda,ser żółty,
55,ser edam,ser żółty,
56,ser żółty,ser żółty,
57,oregano,przyprawy,
58,bułka tarta,chleby,
59,płatki owsiane błyskawiczne,płatki,
60,płatki owsiane górskie,płatki,
61,płatki lasagne,makarony,
62,pierś z kurczaka,drób,
63,pasta curry,pasty,
64,ryż basmati,ryż,
65,pierś z indyka,drób,
66,ryż biały,ryż,
67,karczek wieprzowy,mięso,
68,łopatka wieprzowa,mięso,
69,bulion mięsny,buliony,
70,liść laurowy,przyprawy,
71,kminek,przyprawy,
72,tymianek,przyprawy,
73,cytryna,owoce,
74,rozmaryn,przyprawy,
75,marchew,warzywa,
76,cukinia,warzywa,
77,kapusta biała,warzywa,
78,kapusta pekińska,warzywa,
79,szalotka,warzywa,
80,cebula żółta,warzywa,
81,cebula czerwona,warzywa,
82,majonez,sosy,
83,jogurt naturalny,nabiał,
84,ocet jabłkowy,ocet,
85,sok z cytryny,sok,
86,majonez vegański,sosy,
87,majonez light,sosy,
88,tortilla pszenna,placki,
89,tortilla pełnoziarnista,,
90,tortilla smakowa,placki,
91,muszle taco,placki,
92,sałata masłowa,warzywa,
93,sałata lodowa,warzywa,
94,sałata rzymska,warzywa,
95,ser cheddar,nabiał,
96,żeberka wieprzowe,mięso,
97,żeberka wołowe,mięso,
98,sos BBQ,sosy,
99,frytki ziemniaczane,warzywa,
101,musztarda,sosy,
102,mieszanka warzyw,warzywa,
